Constituency,constituency,max_votes,winner_party,State
AJMER - 13,AJMER - 13,747462,Bharatiya Janata Party,Rajasthan
ALWAR - 8,ALWAR - 8,631992,Bharatiya Janata Party,Rajasthan
AMBALA - 1,AMBALA - 1,663657,Indian National Congress,Haryana
ANANTNAG-RAJOURI - 3,ANANTNAG-RAJOURI - 3,521836,Jammu & Kashmir National Conference,Jammu and Kashmir
ARAKKONAM - 7,ARAKKONAM - 7,563216,Dravida Munnetra Kazhagam,Tamil Nadu
ARANI - 12,ARANI - 12,500099,Dravida Munnetra Kazhagam,Tamil Nadu
Adilabad - 1,Adilabad - 1,568168,Bharatiya Janata Party,Telangana
Agra - 18,Agra - 18,599397,Bharatiya Janata Party,Uttar Pradesh
Ahmedabad East - 7,Ahmedabad East - 7,770459,Bharatiya Janata Party,Gujarat
Ahmedabad West - 8,Ahmedabad West - 8,611704,Bharatiya Janata Party,Gujarat
Ahmednagar - 37,Ahmednagar - 37,624797,Nationalist Congress Party  Sharadchandra Pawar,Maharashtra
Akbarpur - 44,Akbarpur - 44,517423,Bharatiya Janata Party,Uttar Pradesh
Akola - 6,Akola - 6,457030,Bharatiya Janata Party,Maharashtra
Alappuzha - 15,Alappuzha - 15,404560,Indian National Congress,Kerala
Alathur - 9,Alathur - 9,403447,Communist Party of India (Marxist),Kerala
Aligarh - 15,Aligarh - 15,501834,Bharatiya Janata Party,Uttar Pradesh
Alipurduars - 2,Alipurduars - 2,695314,Bharatiya Janata Party,West Bengal
Allahabad - 52,Allahabad - 52,462145,Indian National Congress,Uttar Pradesh
Almora - 3,Almora - 3,429167,Bharatiya Janata Party,Uttarakhand
Amalapuram (SC) - 7,Amalapuram (SC) - 7,796981,Telugu Desam,Andhra Pradesh
Ambedkar Nagar - 55,Ambedkar Nagar - 55,544959,Samajwadi Party,Uttar Pradesh
Amethi - 37,Amethi - 37,539228,Indian National Congress,Uttar Pradesh
Amravati - 7,Amravati - 7,526271,Indian National Congress,Maharashtra
Amreli - 14,Amreli - 14,580872,Bharatiya Janata Party,Gujarat
Amritsar - 2,Amritsar - 2,255181,Indian National Congress,Punjab
Amroha - 9,Amroha - 9,476506,Bharatiya Janata Party,Uttar Pradesh
Anakapalle - 5,Anakapalle - 5,762069,Bharatiya Janata Party,Andhra Pradesh
Anand - 16,Anand - 16,612484,Bharatiya Janata Party,Gujarat
Anandpur Sahib - 6,Anandpur Sahib - 6,313217,Aam Aadmi Party,Punjab
Ananthapur - 19,Ananthapur - 19,768245,Telugu Desam,Andhra Pradesh
Andaman & Nicobar Islands - 1,Andaman & Nicobar Islands - 1,102436,Bharatiya Janata Party,Andaman & Nicobar Islands
Aonla - 24,Aonla - 24,492515,Samajwadi Party,Uttar Pradesh
Araku (ST) - 1,Araku (ST) - 1,477005,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh
Arambagh - 29,Arambagh - 29,712587,All India Trinamool Congress,West Bengal
Araria - 9,Araria - 9,600146,Bharatiya Janata Party,Bihar
Arrah - 32,Arrah - 32,529382,Communist Party of India (Marxist-Leninist) (Liberation),Bihar
Arunachal East - 2,Arunachal East - 2,145581,Bharatiya Janata Party,Arunachal Pradesh
Arunachal West - 1,Arunachal West - 1,205417,Bharatiya Janata Party,Arunachal Pradesh
Asansol - 40,Asansol - 40,605645,All India Trinamool Congress,West Bengal
Aska - 19,Aska - 19,494226,Bharatiya Janata Party,Odisha
Attingal - 19,Attingal - 19,328051,Indian National Congress,Kerala
Aurangabad - 19,Aurangabad - 19,476130,Shiv Sena,Maharashtra
Aurangabad - 37,Aurangabad - 37,465567,Rashtriya Janata Dal,Bihar
Azamgarh - 69,Azamgarh - 69,508239,Samajwadi Party,Uttar Pradesh
BALAGHAT - 15,BALAGHAT - 15,712660,Bharatiya Janata Party,Madhya Pradesh
BANSWARA - 20,BANSWARA - 20,820831,Bharat Adivasi Party,Rajasthan
BARAMULLA - 1,BARAMULLA - 1,472481,Independent,Jammu and Kashmir
BARMER - 17,BARMER - 17,704676,Indian National Congress,Rajasthan
BASTAR - 10,BASTAR - 10,458398,Bharatiya Janata Party,Chhattisgarh
BETUL - 29,BETUL - 29,848236,Bharatiya Janata Party,Madhya Pradesh
BHARATPUR - 9,BHARATPUR - 9,579890,Indian National Congress,Rajasthan
BHILWARA - 23,BHILWARA - 23,807640,Bharatiya Janata Party,Rajasthan
BHIND - 2,BHIND - 2,537065,Bharatiya Janata Party,Madhya Pradesh
BHIWANI-MAHENDRAGARH - 8,BHIWANI-MAHENDRAGARH - 8,588664,Bharatiya Janata Party,Haryana
BHOPAL - 19,BHOPAL - 19,981109,Bharatiya Janata Party,Madhya Pradesh
BIKANER - 2,BIKANER - 2,566737,Bharatiya Janata Party,Rajasthan
BILASPUR - 5,BILASPUR - 5,724937,Bharatiya Janata Party,Chhattisgarh
Badaun - 23,Badaun - 23,501855,Samajwadi Party,Uttar Pradesh
Bagalkot - 3,Bagalkot - 3,671039,Bharatiya Janata Party,Karnataka
Baghpat - 11,Baghpat - 11,488967,Rashtriya Lok Dal,Uttar Pradesh
Baharaich - 56,Baharaich - 56,518802,Bharatiya Janata Party,Uttar Pradesh
Baharampur - 10,Baharampur - 10,524516,All India Trinamool Congress,West Bengal
Balasore - 6,Balasore - 6,563865,Bharatiya Janata Party,Odisha
Ballia - 72,Ballia - 72,467068,Samajwadi Party,Uttar Pradesh
Balurghat - 6,Balurghat - 6,574996,Bharatiya Janata Party,West Bengal
Banaskantha - 2,Banaskantha - 2,671883,Indian National Congress,Gujarat
Banda - 48,Banda - 48,406567,Samajwadi Party,Uttar Pradesh
Bangalore North - 24,Bangalore North - 24,986049,Bharatiya Janata Party,Karnataka
Bangalore Rural - 23,Bangalore Rural - 23,1079002,Bharatiya Janata Party,Karnataka
Bangalore South - 26,Bangalore South - 26,750830,Bharatiya Janata Party,Karnataka
Bangalore central - 25,Bangalore central - 25,658915,Bharatiya Janata Party,Karnataka
Bangaon - 14,Bangaon - 14,719505,Bharatiya Janata Party,West Bengal
Banka - 27,Banka - 27,506678,Janata Dal (United),Bihar
Bankura - 36,Bankura - 36,641813,All India Trinamool Congress,West Bengal
Bansgaon - 67,Bansgaon - 67,428693,Bharatiya Janata Party,Uttar Pradesh
Bapatla (SC) - 15,Bapatla (SC) - 15,717493,Telugu Desam,Andhra Pradesh
Barabanki - 53,Barabanki - 53,719927,Indian National Congress,Uttar Pradesh
Baramati - 35,Baramati - 35,732312,Nationalist Congress Party  Sharadchandra Pawar,Maharashtra
Barasat - 17,Barasat - 17,692010,All India Trinamool Congress,West Bengal
Bardhaman Purba - 38,Bardhaman Purba - 38,720302,All India Trinamool Congress,West Bengal
Bardhaman-Durgapur - 39,Bardhaman-Durgapur - 39,720667,All India Trinamool Congress,West Bengal
Bardoli - 23,Bardoli - 23,763950,Bharatiya Janata Party,Gujarat
Bareilly - 25,Bareilly - 25,567127,Bharatiya Janata Party,Uttar Pradesh
Bargarh - 1,Bargarh - 1,716359,Bharatiya Janata Party,Odisha
Barpeta - 3,Barpeta - 3,860113,Asom Gana Parishad,Assam
Barrackpur - 15,Barrackpur - 15,520231,All India Trinamool Congress,West Bengal
Basirhat - 18,Basirhat - 18,803762,All India Trinamool Congress,West Bengal
Basti - 61,Basti - 61,527005,Samajwadi Party,Uttar Pradesh
Bathinda - 11,Bathinda - 11,376558,Shiromani Akali Dal,Punjab
Beed - 39,Beed - 39,683950,Nationalist Congress Party  Sharadchandra Pawar,Maharashtra
Begusarai - 24,Begusarai - 24,649331,Bharatiya Janata Party,Bihar
Belgaum - 2,Belgaum - 2,762029,Bharatiya Janata Party,Karnataka
Bellary - 9,Bellary - 9,730845,Indian National Congress,Karnataka
Berhampur - 20,Berhampur - 20,513102,Bharatiya Janata Party,Odisha
Bhadohi - 78,Bhadohi - 78,459982,Bharatiya Janata Party,Uttar Pradesh
Bhadrak - 7,Bhadrak - 7,573319,Bharatiya Janata Party,Odisha
Bhagalpur - 26,Bhagalpur - 26,536031,Janata Dal (United),Bihar
Bhandara Gondiya - 11,Bhandara Gondiya - 11,587413,Indian National Congress,Maharashtra
Bharuch - 22,Bharuch - 22,608157,Bharatiya Janata Party,Gujarat
Bhavnagar - 15,Bhavnagar - 15,716883,Bharatiya Janata Party,Gujarat
Bhiwandi - 23,Bhiwandi - 23,499464,Nationalist Congress Party  Sharadchandra Pawar,Maharashtra
Bhongir - 14,Bhongir - 14,629143,Indian National Congress,Telangana
Bhubaneswar - 18,Bhubaneswar - 18,512519,Bharatiya Janata Party,Odisha
Bidar - 7,Bidar - 7,666317,Indian National Congress,Karnataka
Bijapur - 4,Bijapur - 4,672781,Bharatiya Janata Party,Karnataka
Bijnor - 4,Bijnor - 4,404493,Rashtriya Lok Dal,Uttar Pradesh
Birbhum - 42,Birbhum - 42,717961,All India Trinamool Congress,West Bengal
Bishnupur - 37,Bishnupur - 37,680130,Bharatiya Janata Party,West Bengal
Bolangir - 10,Bolangir - 10,617744,Bharatiya Janata Party,Odisha
Bolpur - 41,Bolpur - 41,855633,All India Trinamool Congress,West Bengal
Bulandshahr - 14,Bulandshahr - 14,597310,Bharatiya Janata Party,Uttar Pradesh
Buldhana - 5,Buldhana - 5,349867,Shiv Sena,Maharashtra
Buxar - 33,Buxar - 33,438345,Rashtriya Janata Dal,Bihar
CHENNAI CENTRAL - 4,CHENNAI CENTRAL - 4,413848,Dravida Munnetra Kazhagam,Tamil Nadu
CHENNAI NORTH - 2,CHENNAI NORTH - 2,497333,Dravida Munnetra Kazhagam,Tamil Nadu
CHENNAI SOUTH - 3,CHENNAI SOUTH - 3,516628,Dravida Munnetra Kazhagam,Tamil Nadu
CHHINDWARA - 16,CHHINDWARA - 16,644738,Bharatiya Janata Party,Madhya Pradesh
CHIDAMBARAM - 27,CHIDAMBARAM - 27,505084,Viduthalai Chiruthaigal Katchi,Tamil Nadu
CHITTORGARH - 21,CHITTORGARH - 21,888202,Bharatiya Janata Party,Rajasthan
CHURU - 3,CHURU - 3,728211,Indian National Congress,Rajasthan
COIMBATORE - 20,COIMBATORE - 20,568200,Dravida Munnetra Kazhagam,Tamil Nadu
CUDDALORE - 26,CUDDALORE - 26,455053,Indian National Congress,Tamil Nadu
Chalakudy - 11,Chalakudy - 11,394171,Indian National Congress,Kerala
Chamarajanagar - 22,Chamarajanagar - 22,751671,Indian National Congress,Karnataka
Chandauli - 76,Chandauli - 76,474476,Samajwadi Party,Uttar Pradesh
Chandigarh - 1,Chandigarh - 1,216657,Indian National Congress,Chandigarh
Chandni Chowk - 1,Chandni Chowk - 1,516496,Bharatiya Janata Party,NCT OF Delhi
Chandrapur - 13,Chandrapur - 13,718410,Indian National Congress,Maharashtra
Chatra - 4,Chatra - 4,574556,Bharatiya Janata Party,Jharkhand
Chevella - 10,Chevella - 10,809882,Bharatiya Janata Party,Telangana
Chhota Udaipur - 21,Chhota Udaipur - 21,796589,Bharatiya Janata Party,Gujarat
Chikkballapur - 27,Chikkballapur - 27,822619,Bharatiya Janata Party,Karnataka
Chikkodi - 1,Chikkodi - 1,713461,Indian National Congress,Karnataka
Chitradurga - 18,Chitradurga - 18,684890,Bharatiya Janata Party,Karnataka
Chittoor(SC) - 25,Chittoor(SC) - 25,778071,Telugu Desam,Andhra Pradesh
Coochbehar - 1,Coochbehar - 1,788375,All India Trinamool Congress,West Bengal
Cuttack - 14,Cuttack - 14,531601,Bharatiya Janata Party,Odisha
DAMOH - 7,DAMOH - 7,709768,Bharatiya Janata Party,Madhya Pradesh
DAUSA - 11,DAUSA - 11,646266,Indian National Congress,Rajasthan
